"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"aalst-belgium-92390","FLS0264",1990-09-23,"Netwerk",NA,600,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Aalst","","Belgium",1990,1,4.042928,50.9422913,"Good",4413
"aberdeen-scotland-50499","FLS0914",1999-05-04,"Lemon Tree","6(pounds)",550,"Joey Picuri","Jerry Busher","DAT","1999 Spring UK/Ireland Tour","Aberdeen",NA,"Scotland",1999,1,-2.094868,57.1499139,"Very Good",4734
"adelaide-australia-111193","FLS0606",1993-11-11,"Dom Polski Hall","15",550,"Joey Picuri","Warren Russell-Smith","Cassette","1993 Japan/Australia/New Zealand Tour","Adelaide","SA","Australia",1993,1,138.60947,-34.9292695,"Good",2809
"adelaide-australia-111296","FLS0808",1996-11-12,"Adelaide University",NA,913.244444444444,"Nick Pellicciotto","Jerry Busher","DAT","1996 US/Japan/Hong Kong/Australia Tour","Adelaide","SA","Australia",1996,1,138.603422,-34.9184709,"Very Good",4628
"adelaide-sa-australia-102291","FLS0404",1991-10-22,"Le Rox Hotel",NA,450,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Australia/New Zealand/Japan Tour","Adelaide","SA","Australia",1991,1,138.592912,-34.9239321,"Good",4296
"akron-oh-usa-62890","FLS0241",1990-06-28,"Jackie Lee's Scooterz Entertainment Center","5",700,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Akron","OH","USA",1990,1,-81.551486,41.0160279,"Good",4948
"albany-ny-usa-92093","FLS0590",1993-09-20,"S.U.N.Y. Albany","5",1000,"Joey Picuri","Warren Russell-Smith","DAT","1993 Fall USA/Canada Tour","Albany","NY","USA",1993,1,-73.828394,42.6819357,"Very Good",4781
"albuquerque-nm-usa-111395","FLS0757",1995-11-13,"Five Points Hall","5",895,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Albuquerque","NM","USA",1995,1,-106.740918,35.0574841,"Very Good",4462
"albuquerque-nm-usa-40801","FLS0985",2001-04-08,"Sunshine Music Hall","6",1100,"Nick Pellicciotto","Warren Russell-Smith","DAT","2001 Spring Western USA Tour","Albuquerque","NM","USA",2001,1,-106.649071,35.0839449,"Excellent",5440
"albuquerque-nm-usa-91191","FLS0397",1991-09-11,"Sunshine Music Hall","5",800,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Albuquerque","NM","USA",1991,1,-106.649071,35.0839449,"Good",4070
"ames-ia-usa-101795","FLS0737",1995-10-17,"Hunky Dory's","5",600,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Ames","IA","USA",1995,1,-93.612785,42.0061761,"Good",5007
"amherst-ma-usa-30991","FLS0317",1991-03-09,"University of Massachusetts","5",1000,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Winter/Spring East Coast USA Tour","Amherst","MA","USA",1991,1,-72.527655,42.390842,"Very Good",5121
"amsterdam-netherlands-101688","FLS0056",1988-10-16,"Van Hall",NA,198.714285714286,"ANON","Warren Russell-Smith","Cassette","1988 Fall European Tour","Amsterdam","","Netherlands",1988,1,4.871879,52.3797524,"Good",3403
"amsterdam-netherlands-110389","FLS0151",1989-11-03,"Vranckrijk","3.5 (Gilders)",350,"Unknown","Fugazi","Cassette","1989 Fall European Tour","Amsterdam","","Netherlands",1989,1,4.889134,52.3716309,"Good",4659
"amsterdam-netherlands-110790","FLS0304",1990-11-07,"Paradiso",NA,1200,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Amsterdam","","Netherlands",1990,1,4.883805,52.3621619,"Very Good",5541
"amsterdam-netherlands-120989","FLS0175",1989-12-09,"Melkweg",NA,452.105263157895,"ANON","Warren Russell-Smith","Cassette","1989 Fall European Tour","Amsterdam","","Netherlands",1989,1,4.881248,52.364786,"Good",4725
"amsterdam-netherlands-50192","FLS0432",1992-05-01,"Paradiso",NA,1200,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Amsterdam","","Netherlands",1992,1,4.883805,52.3621619,"Good",5645
