"gid","fls_id","played_with"
"washington-dc-usa-90387","FLS0001","Fire Party"
"washington-dc-usa-90387","FLS0001","Ignition"
"washington-dc-usa-90387","FLS0001","Marginal Man"
"washington-dc-usa-92687","FLS0002","Darkness at Noon"
"washington-dc-usa-92687","FLS0002","Sarcastic Orgasm"
"washington-dc-usa-92687","FLS0002","Swiz"
"chapel-hill-nc-usa-92787","FLS0003","Days Of"
"chapel-hill-nc-usa-92787","FLS0003","Slush Puppies"
"richmond-va-usa-100787","FLS0004","Killjoy"
"richmond-va-usa-100787","FLS0004","Oi Polloi"
"washington-dc-usa-101687","FLS0005","Kingface"
"frederick-md-usa-112587","FLS0006","Second Nature"
"frederick-md-usa-112587","FLS0006","Soulside"
"frederick-md-usa-112587","FLS0006","Three"
"washington-dc-usa-120387","FLS0008","Soulside"
"washington-dc-usa-120387","FLS0008","The Hated"
"washington-dc-usa-120387","FLS0008","Thorns"
"middletown-ct-usa-120487","FLS0009","Soulside"
"norwalk-ct-usa-120587","FLS0010","American Standard"
"norwalk-ct-usa-120587","FLS0010","Soulside"
"washington-dc-usa-122887","FLS0011","Darkness at Noon"
"flint-mi-usa-12188","FLS0012","Political Silence"
"flint-mi-usa-12188","FLS0012","Smashed"
"annapolis-md-usa-20688","FLS0013","Images"
"annapolis-md-usa-20688","FLS0013","Moss Icon"
"merrifield-va-usa-22088","FLS0014","MFD"
"merrifield-va-usa-22088","FLS0014","Shudder to Think"
"washington-dc-usa-30388","FLS0015","False Prophets"
"washington-dc-usa-30388","FLS0015","Fidelity Jones"
"washington-dc-usa-30388","FLS0015","Kingface"
"new-york-ny-usa-32588","FLS0016","Alice Donut"
"new-york-ny-usa-32588","FLS0016","Fidelity Jones"
"washington-dc-usa-33088","FLS0017","Laughing Hyenas"
"rockville-md-usa-40988","FLS0018","MFD"
"rockville-md-usa-40988","FLS0018","The Cynics"
"rockville-md-usa-40988","FLS0018","The Now"
"middletown-ct-usa-41588","FLS0019","Watershed"
"boston-ma-usa-41688","FLS0020","Patience"
"providence-ri-usa-41788","FLS0021","Operation Ivy"
"providence-ri-usa-41788","FLS0021","Verbal Assault"
"richmond-va-usa-42888","FLS0022","Alternatives"
"washington-dc-usa-50188","FLS0023","Dan Joseph"
"washington-dc-usa-50188","FLS0023","Rohelio Maxwell"
"washington-dc-usa-50188","FLS0023","The Smithtones"
"washington-dc-usa-50188","FLS0023","Twisted Teenage Plot"
"oberlin-oh-usa-50588","FLS0024","Kingface"
"morgantown-wv-usa-50688","FLS0025","Das Damen"
"clarksville-in-usa-50788","FLS0026","King Horse"
"clarksville-in-usa-50788","FLS0026","Lead Pennies"
"chicago-il-usa-50888","FLS0027","Jack Scratch"
"chicago-il-usa-50888","FLS0027","No Empathy"
"bozeman-mt-usa-51288","FLS0028","Homes With Pelicans"
"spokane-wa-usa-51388","FLS0029","Buzz"
"spokane-wa-usa-51388","FLS0029","Coffee Achievers"
"spokane-wa-usa-51388","FLS0029","Free Keg"
"spokane-wa-usa-51388","FLS0029","the Feedback"
"tacoma-wa-usa-51588","FLS0030","Brotherhood"
"tacoma-wa-usa-51588","FLS0030","Noise For Nothing"
"olympia-wa-usa-51688","FLS0031","Dangermouse"
"olympia-wa-usa-51688","FLS0031","Green Eggs & Ham"
"berkeley-ca-usa-52088","FLS0032","Beatnigs"
"berkeley-ca-usa-52088","FLS0032","Crimpshrine"
"berkeley-ca-usa-52088","FLS0032","Yeastie Girlz"
"pomona-ca-usa-52288","FLS0033","Lazy Cowgirls"
"pomona-ca-usa-52288","FLS0033","Public Humiliation"
"pomona-ca-usa-52288","FLS0033","Savage Republic"
"tucson-az-usa-52488","FLS0035","The Squares"
"tucson-az-usa-52488","FLS0035","Wind of Change"
"college-station-tx-usa-52688","FLS0036","Bad Mutha Goose"
"college-station-tx-usa-52688","FLS0036","Hostile Union"
"houston-tx-usa-52788","FLS0037","Bad Mutha Goose"
"austin-tx-usa-52888","FLS0038","Bad Mutha Goose"
"austin-tx-usa-52888","FLS0038","Glass Eye"
"austin-tx-usa-52888","FLS0038","Wildseeds"
"dallas-tx-usa-52988","FLS0039","Last Rites"
"athens-ga-usa-60388","FLS0040","Jackonuts"
"atlanta-ga-usa-60488","FLS0041","After Words"
"atlanta-ga-usa-60488","FLS0041","Final Offering"
"chapel-hill-nc-usa-60588","FLS0042","Wwax"
"washington-dc-usa-61588","FLS0043","Bells Of"
"washington-dc-usa-61588","FLS0043","Fire Party"
"hoboken-nj-usa-63088","FLS0044","American Standard"
"leonardtown-md-usa-70288","FLS0045","Moss Icon"
"leonardtown-md-usa-70288","FLS0045","The Hated"
"virginia-beach-va-usa-71688","FLS0046","Fire Party"
"virginia-beach-va-usa-71688","FLS0046","Scream"
"washington-dc-usa-71888","FLS0047","Grim Prospects"
"washington-dc-usa-72888","FLS0048","Ignition"
"washington-dc-usa-72888","FLS0048","Moss Icon"
"washington-dc-usa-72888","FLS0048","Nation of Ulysses"
"washington-dc-usa-80188","FLS0049","Parasite"
"philadelphia-pa-usa-80788","FLS0050","Scram"
