"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"aalst-belgium-92390","<a href='https://www.dischord.com/fugazi_live_series/aalst-belgium-92390' target='_blank'>aalst-belgium-92390</a>",1990,"1990 Fall European Tour",1990-09-23,"Netwerk","Aalst","Belgium","Alice Donut",600,"Good",50.9422913,4.042928
"aberdeen-scotland-50499","<a href='https://www.dischord.com/fugazi_live_series/aberdeen-scotland-50499' target='_blank'>aberdeen-scotland-50499</a>",1999,"1999 Spring UK/Ireland Tour",1999-05-04,"Lemon Tree","Aberdeen","Scotland","Laeto",550,"Very Good",57.1499139,-2.094868
"adelaide-australia-111193","<a href='https://www.dischord.com/fugazi_live_series/adelaide-australia-111193' target='_blank'>adelaide-australia-111193</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-11-11,"Dom Polski Hall","Adelaide","Australia","Magic Dirt",550,"Good",-34.9292695,138.60947
"adelaide-australia-111296","<a href='https://www.dischord.com/fugazi_live_series/adelaide-australia-111296' target='_blank'>adelaide-australia-111296</a>",1996,"1996 US/Japan/Hong Kong/Australia Tour",1996-11-12,"Adelaide University","Adelaide","Australia","Sin Dog Jellyroll",913,"Very Good",-34.9184709,138.603422
"adelaide-australia-111296","<a href='https://www.dischord.com/fugazi_live_series/adelaide-australia-111296' target='_blank'>adelaide-australia-111296</a>",1996,"1996 US/Japan/Hong Kong/Australia Tour",1996-11-12,"Adelaide University","Adelaide","Australia","Test Eagles",913,"Very Good",-34.9184709,138.603422
"adelaide-sa-australia-102291","<a href='https://www.dischord.com/fugazi_live_series/adelaide-sa-australia-102291' target='_blank'>adelaide-sa-australia-102291</a>",1991,"1991 Australia/New Zealand/Japan Tour",1991-10-22,"Le Rox Hotel","Adelaide","Australia","Baba Ganous",450,"Good",-34.9239321,138.592912
"akron-oh-usa-62890","<a href='https://www.dischord.com/fugazi_live_series/akron-oh-usa-62890' target='_blank'>akron-oh-usa-62890</a>",1990,"1990 Spring/Summer USA Tour",1990-06-28,"Jackie Lee's Scooterz Entertainment Center","Akron","USA","Holy Rollers",700,"Good",41.0160279,-81.551486
"akron-oh-usa-62890","<a href='https://www.dischord.com/fugazi_live_series/akron-oh-usa-62890' target='_blank'>akron-oh-usa-62890</a>",1990,"1990 Spring/Summer USA Tour",1990-06-28,"Jackie Lee's Scooterz Entertainment Center","Akron","USA","Hyper as Hell",700,"Good",41.0160279,-81.551486
"albany-ny-usa-92093","<a href='https://www.dischord.com/fugazi_live_series/albany-ny-usa-92093' target='_blank'>albany-ny-usa-92093</a>",1993,"1993 Fall USA/Canada Tour",1993-09-20,"S.U.N.Y. Albany","Albany","USA","Spinanes",1000,"Very Good",42.6819357,-73.828394
"albany-ny-usa-92093","<a href='https://www.dischord.com/fugazi_live_series/albany-ny-usa-92093' target='_blank'>albany-ny-usa-92093</a>",1993,"1993 Fall USA/Canada Tour",1993-09-20,"S.U.N.Y. Albany","Albany","USA","Very Pleasant Neighbor",1000,"Very Good",42.6819357,-73.828394
